district,year,consec_drought,total_droughts,share,avg_spei3
Kotayk,2004,0,0,0.027777777777777776,0.10916229640586408
Kotayk,2005,0,0,0.027777777777777776,0.5909247739103901
Kotayk,2006,0,0,0.16666666666666666,0.086283999037308
Kotayk,2007,0,0,0.027777777777777776,0.6280004431144335
Kotayk,2008,1,0,0.3333333333333333,-0.3905590042654593
Kotayk,2009,0,0,0.027777777777777776,0.9126855043047625
Kotayk,2010,0,0,0.1388888888888889,0.457641098127998
Kotayk,2011,0,0,0.1111111111111111,0.3295410370635283
Kotayk,2012,0,0,0.19444444444444445,-0.15631075718168477
Kotayk,2013,0,0,0.05555555555555555,0.06244045361237465
Kotayk,2014,0,0,0.16666666666666666,-0.4873716835191268
Kotayk,2015,0,0,0.1111111111111111,0.17084241311693205
Kotayk,2016,0,0,0.0,0.6037034859204948
Kotayk,2017,1,1,0.4444444444444444,-0.8356545642076525
Kotayk,2018,0,0,0.0,0.1527233196357783
Kotayk,2019,1,1,0.4444444444444444,-0.4671056053963386
Kotayk,2020,0,0,0.25,-0.19557467808351955
Kotayk,2021,0,0,0.25,-0.5437985666251429
Kotayk,2022,1,1,0.5277777777777778,-1.051606357545178
Kotayk,2023,0,0,0.2222222222222222,-0.2992574180379355
Kotayk,2024,0,0,0.0,0.4995813229548125
Kotayk,2025,1,1,0.6,-1.0359572379120316
Lor,2000,1,1,0.5277777777777778,-0.8205588590933316
Lor,2001,1,1,0.5555555555555556,-0.7519857408269905
Lor,2002,0,0,0.0,0.8292090047954813
Lor,2003,0,0,0.027777777777777776,0.28301334497786246
Lor,2004,0,0,0.027777777777777776,0.014364434296213499
Lor,2005,0,0,0.027777777777777776,0.7159111873375709
Lor,2006,1,0,0.3055555555555556,-0.09961095966998705
Lor,2007,0,0,0.027777777777777776,0.5510558276898655
Lor,2008,0,0,0.1388888888888889,-0.07422906268809913
Lor,2009,0,0,0.027777777777777776,0.367163612102815
Lor,2010,0,0,0.08333333333333333,0.451798753608436
Lor,2011,0,0,0.1388888888888889,0.3420557545322458
Lor,2012,0,0,0.19444444444444445,-0.21039486745905736
Lor,2013,0,0,0.08333333333333333,-0.027183404322415353
Lor,2014,0,0,0.16666666666666666,-0.09241182745173648
Lor,2015,0,0,0.1111111111111111,0.34957553771857774
Lor,2016,0,0,0.0,0.7659271254411174
Lor,2017,0,0,0.3333333333333333,-0.531956300139676
Lor,2018,0,0,0.0,0.2318901642226056
Lor,2019,0,0,0.3055555555555556,-0.53818534980737
Lor,2020,0,0,0.3333333333333333,-0.591101635566616
Lor,2021,0,0,0.2777777777777778,-0.3240199442097169
Lor,2022,1,1,0.4722222222222222,-0.7722647975001913
Lor,2023,0,0,0.16666666666666666,-0.016303027751178957
Lor,2024,0,0,0.027777777777777776,0.4198194384180869
Lor,2025,0,1,0.5,-0.7587206750152968
Shirak,2000,1,1,0.5555555555555556,-0.9672401496249005
Shirak,2001,0,1,0.4166666666666667,-0.7321974106379745
Shirak,2002,0,0,0.0,0.8707421177821076
Shirak,2003,0,0,0.0,0.4020659626468033
Shirak,2004,0,0,0.0,0.1777921695596515
Shirak,2005,0,0,0.027777777777777776,0.7894503753015405
Shirak,2006,0,0,0.19444444444444445,0.07799949031696321
Shirak,2007,0,0,0.027777777777777776,0.533230502805404
Shirak,2008,0,0,0.25,-0.42393517697480726
Shirak,2009,0,0,0.027777777777777776,0.6314297730459345
Shirak,2010,0,0,0.05555555555555555,0.6238528752488555
Shirak,2011,0,0,0.1388888888888889,0.25696551134266576
Shirak,2012,0,0,0.25,-0.41527408206811506
Shirak,2013,0,0,0.19444444444444445,-0.2607673012654488
Shirak,2014,0,0,0.1388888888888889,-0.21023730485803055
Shirak,2015,0,0,0.08333333333333333,0.41463764829553157
Shirak,2016,0,0,0.027777777777777776,0.5158122446752178
Shirak,2017,0,0,0.3611111111111111,-0.7478923954681043
Shirak,2018,0,0,0.027777777777777776,0.25767079421466327
Shirak,2019,0,0,0.3333333333333333,-0.5134527023735408
Shirak,2020,0,0,0.3611111111111111,-0.5565635223729182
Shirak,2021,0,0,0.2777777777777778,-0.4638544032121332
Shirak,2022,1,1,0.4444444444444444,-0.6862654571613479
Shirak,2023,0,0,0.25,-0.3650695722832237
Shirak,2024,0,0,0.027777777777777776,0.2891116511435139
Shirak,2025,1,1,0.5666666666666667,-0.822370981802352
Syunik,2000,0,0,0.2222222222222222,-0.46018491429932035
Syunik,2001,0,0,0.3055555555555556,-0.7156689456770232
Syunik,2002,0,0,0.1111111111111111,0.3805174697414333
Syunik,2003,0,0,0.0,0.7715319791277366
Syunik,2004,0,0,0.0,0.2164458459466903
Syunik,2005,0,0,0.0,-0.01750141189127959
Syunik,2006,1,0,0.3333333333333333,-0.5641996341686675
Syunik,2007,0,0,0.027777777777777776,0.07299565704578903
Syunik,2008,1,0,0.2777777777777778,-0.10335170828512827
Syunik,2009,0,0,0.0,0.6738933346626399
Syunik,2010,0,0,0.1388888888888889,0.3921988439216546
Syunik,2011,0,0,0.1388888888888889,0.39182301303773454
Syunik,2012,0,0,0.1388888888888889,-0.13130135186750985
Syunik,2013,0,0,0.0,0.24797229702291362
Syunik,2014,0,0,0.16666666666666666,-0.28660875357406995
Syunik,2015,0,0,0.2222222222222222,0.13493221761188698
Syunik,2016,0,0,0.0,0.9084569943867274
Syunik,2017,0,0,0.2222222222222222,-0.565289414322432
Syunik,2018,0,0,0.2222222222222222,-0.296969335574394
Syunik,2019,0,0,0.3055555555555556,-0.24840561057473615
Syunik,2020,0,0,0.3055555555555556,-0.5094998527971119
Syunik,2021,1,1,0.5,-1.0405712769915179
Syunik,2022,1,1,0.4722222222222222,-1.0389841375967805
Syunik,2023,1,0,0.3611111111111111,-0.4886247815306596
Syunik,2024,0,0,0.027777777777777776,0.10863133270548093
Syunik,2025,1,1,0.8666666666666667,-1.434727460687996
Tavush,2000,1,1,0.5,-0.740229403002862
Tavush,2001,0,0,0.3611111111111111,-0.5963101447107167
Tavush,2002,0,0,0.027777777777777776,0.5779311347809267
Tavush,2003,0,0,0.0,0.43980883033132323
Tavush,2004,0,0,0.027777777777777776,0.012141887057589855
Tavush,2005,0,0,0.027777777777777776,0.5129085207461483
Tavush,2006,0,0,0.19444444444444445,-0.06348009505503188
Tavush,2007,0,0,0.05555555555555555,0.5008900986170004
Tavush,2008,0,0,0.1111111111111111,0.17066570297956113
Tavush,2009,0,0,0.08333333333333333,0.2583213321351516
Tavush,2010,0,0,0.08333333333333333,0.6104852016377225
Tavush,2011,0,0,0.1111111111111111,0.3944795394301292
Tavush,2012,0,0,0.2222222222222222,-0.20376073926605318
Tavush,2013,0,0,0.05555555555555555,0.15922612256340302
Tavush,2014,0,0,0.08333333333333333,-0.25357316969435756
Tavush,2015,0,0,0.16666666666666666,0.18627097664392311
Tavush,2016,0,0,0.0,0.6930797364933553
Tavush,2017,0,0,0.3055555555555556,-0.6444266560784955
Tavush,2018,0,0,0.05555555555555555,-0.04329907789953587
Tavush,2019,0,0,0.3888888888888889,-0.6751079517977174
Tavush,2020,0,1,0.4166666666666667,-0.7485887952624816
Tavush,2021,1,0,0.3333333333333333,-0.41840124062663464
Tavush,2022,1,1,0.6388888888888888,-0.946802153282449
Tavush,2023,0,0,0.05555555555555555,0.15069111533038837
Tavush,2024,0,0,0.05555555555555555,0.42482668922403477
Tavush,2025,0,0,0.43333333333333335,-0.6696060463385138
Vayots dzor,2000,0,0,0.3611111111111111,-0.7565174965291388
Vayots dzor,2001,0,0,0.2777777777777778,-0.694288059419746
Vayots dzor,2002,0,0,0.1388888888888889,0.5728257386007398
Vayots dzor,2003,0,0,0.0,0.8365121819034458
Vayots dzor,2004,0,0,0.05555555555555555,0.09376222856088944
Vayots dzor,2005,0,0,0.027777777777777776,0.13933500038284466
Vayots dzor,2006,0,0,0.19444444444444445,-0.04404643572504736
Vayots dzor,2007,0,0,0.027777777777777776,0.39308358824807027
Vayots dzor,2008,1,0,0.3055555555555556,-0.56180048912534
Vayots dzor,2009,0,0,0.0,0.8784862667897768
Vayots dzor,2010,0,0,0.2777777777777778,0.350217375296375
Vayots dzor,2011,0,0,0.1111111111111111,0.3206365677849842
Vayots dzor,2012,0,0,0.2222222222222222,-0.17407043064285213
Vayots dzor,2013,0,0,0.027777777777777776,0.23699939773319378
Vayots dzor,2014,0,0,0.16666666666666666,-0.44434118354951757
Vayots dzor,2015,0,0,0.25,-0.10585528162725193
Vayots dzor,2016,0,0,0.0,0.5064070542899167
Vayots dzor,2017,1,1,0.4166666666666667,-0.8237763193901628
Vayots dzor,2018,0,0,0.1388888888888889,-0.11043655498522437
Vayots dzor,2019,0,1,0.4166666666666667,-0.3568816390616121
Vayots dzor,2020,0,0,0.25,-0.2173369132534491
Vayots dzor,2021,1,1,0.5833333333333334,-0.9969224662959782
Vayots dzor,2022,1,1,0.6111111111111112,-1.1679812285215627
Vayots dzor,2023,0,0,0.25,-0.4676133984337664
Vayots dzor,2024,0,0,0.027777777777777776,0.29612143503375893
Vayots dzor,2025,1,1,0.8,-1.4109709051592896
